performance_id,arrangement_id
1388680534_1647594537, 3772019_3772019
1389821451_1649849390, 3769477_3769477
1390498000_1673009685, 3769411_3769411
1395957101_2050730159, 5504102_5504102
1396304832_1667891977, 3770950_3770950
1396416593_2009862412, 3770679_3770679
1396416593_2324961115, 3771135_3771135
1396609151_2139993616, 3770803_3770803
1398031550_1884343016, 3771841_3771841
1398618014_1778367285, 3771451_3771451
1398805345_2341652916, 3769730_3769730
1399954955_1932620554, 3770602_3770602
140042477_2231964115, 3771724_3771724
1400627469_1670875176, 3770948_3770948
140108793_1944724425, 3771688_3771688
1401754409_1806437489, 3769643_3769643
1402052976_1673503236, 3771478_3771478
1403280210_1817546014, 3769996_3769996
140334498_1739605749, 3771494_3771494
1403405542_1681300160, 3771792_3771792
140438461_1830458379, 3771926_3771926
1404670343_1832419141, 3769415_3769415
1404818943_1995879657, 3771926_3771926
1405017550_1678823800, 3771377_3771377
1406837405_1971595718, 3771162_3771162
1407351096_1691027711, 3770685_3770685
1407985767_1684267997, 3772190_3772190
1411881132_1691835959, 3769899_3769899
1411891398_1693776434, 3770948_3770948
1412130751_1692308684, 3769836_3769836
1413399094_1694954190, 3772040_3772040
1414950122_1697435068, 3771478_3771478
1415071792_1702631615, 3770950_3770950
1415337344_1703164910, 3769836_3769836
1417430717_1725909573, 3770803_3770803
1417700244_1794936461, 3770803_3770803
1421767379_2220805558, 3770322_3770322
1421997102_1726503697, 3769411_3769411
1423567165_1731741982, 3769643_3769643
1423567165_1747943798, 3771110_3771110
1423567165_1749722858, 3771184_3771184
1423567165_1761465062, 3771184_3771184
1423567165_1882420602, 3769966_3769966
1425258809_1744497539, 3771478_3771478
1427754235_1721483971, 3770602_3770602
1430213368_2002880824, 3769415_3769415
1430384553_1797361276, 3770761_3770761
1430450838_1726686248, 3771478_3771478
1432717364_1731340997, 3772046_3772046
1434498454_1747397629, 3770948_3770948
1436714552_1785939910, 3771025_3771025
1437632446_1942401943, 3772212_3772212
1440197603_1746556276, 3771926_3771926
1440197603_1746720335, 3771343_3771343
1442189089_1750187268, 3769477_3769477
1443261308_1807546274, 3770532_3770532
1443261308_2000381674, 3770532_3770532
1443261308_2002730253, 3770532_3770532
1443261843_1827374763, 3770023_3770023
1443261843_1862935343, 3769443_3769443
144456244_1924751908, 3771343_3771343
144456244_2097037081, 3770715_3770715
1444620185_1762748713, 3772019_3772019
1445020132_2167766618, 3770782_3770782
1445076292_1755427795, 3769810_3769810
1445955737_1757303468, 3769836_3769836
1448429890_1780566074, 3770906_3770906
1450472965_1773381739, 3769415_3769415
1451177603_1818070681, 3770948_3770948
1457412015_1914876106, 3771631_3771631
1457412015_1929703224, 3770803_3770803
1457412015_1959551204, 3769888_3769888
1457592359_1778457806, 3770602_3770602
1460746925_1784370752, 3770948_3770948
1463861402_2153280973, 3770803_3770803
1466491527_1794572510, 3769411_3769411
1467777181_1817473716, 3769831_3769831
1471194020_1813423083, 3769643_3769643
1475586817_2074941051, 3769882_3769882
1475702274_2191062462, 3770457_3770457
147713340_1994587948, 3769882_3769882
1477236038_1815089711, 3771478_3771478
1478173302_1819820598, 3771864_3771864
1481033276_1907561769, 3772221_3772221
1482254190_2073313430, 3771973_3771973
1482541173_2072996077, 3769590_3769590
148313552_2284135328, 3770983_3770983
1485478041_1910599580, 3769571_3769571
1485478041_1957260383, 3769882_3769882
148650875_2350658575, 3771116_3771116
148650875_2354555120, 3771109_3771109
1488112528_1848222198, 3769643_3769643
1489256514_1837276202, 3771311_3771311
1490509787_1847118900, 3770598_3770598
1490509787_1927613601, 3770598_3770598
1490509787_2000365180, 3770598_3770598
1490509787_2005289794, 3770598_3770598
1490509787_2094629388, 3770598_3770598
1492227915_1842607906, 3771478_3771478
1492288916_1842649233, 3771478_3771478
149258940_1959312011, 3769415_3769415
1493577679_1854590713, 3769415_3769415
1495043322_1930192338, 3769477_3769477
1498880321_1855411518, 3771154_3771154
1499001244_1917577123, 3770185_3770185
1503625238_1867731981, 3771124_3771124
1503625238_1962138329, 3771926_3771926
1503625238_2164660911, 3771258_3771258
1505549489_1866258109, 3769801_3769801
1506102718_1874348242, 3771478_3771478
1506998583_1868775372, 3769477_3769477
1507398692_1874362599, 3769810_3769810
1510704224_1874828815, 3772190_3772190
1510957312_1875329478, 3769415_3769415
1511588360_1934139764, 3771791_3771791
1511588360_1944606173, 3769390_3769390
1511588360_1974121258, 3769969_3769969
1511993150_1880895088, 3771478_3771478
1513504127_1902768566, 3769655_3769655
1515143647_1886586328, 3769643_3769643
1516181912_1883555845, 3772190_3772190
1516565879_1944432776, 3771116_3771116
1516946613_2157709260, 3770803_3770803
1518111952_1897919656, 3769415_3769415
1518111952_1959545881, 3769415_3769415
1519733805_2077725525, 3770363_3770363
1520929407_1893618207, 3772019_3772019
1521231180_1995052162, 3769897_3769897
152149831_1655645340, 3770803_3770803
1522419096_1904963221, 3769415_3769415
1525287419_1920467956, 3771712_3771712
1526878084_1945341870, 3772198_3772198
1526878084_1945604840, 3771107_3771107
1527964988_1915141771, 3771926_3771926
152808268_1528537460, 3770948_3770948
1528482139_1937952218, 3771478_3771478
1529197347_1905020757, 3769415_3769415
152960653_2202580313, 3769730_3769730
1530587123_1921969138, 3771347_3771347
1532167249_2027650555, 3769390_3769390
1533613290_2005513826, 3771107_3771107
1535274847_1915360989, 3771116_3771116
1536413881_1922372468, 3769415_3769415
1539206603_1924252400, 3769458_3769458
1542018142_1934750371, 3771456_3771456
1542018142_1952233991, 3771456_3771456
1542285636_1932397848, 3771926_3771926
1542468415_1978132518, 3770948_3770948
1542944165_2034239247, 3769643_3769643
1543137485_2026310249, 3770761_3770761
1543961011_1930444941, 3770948_3770948
1546605605_1942239057, 3770160_3770160
154742013_2343201374, 3771478_3771478
1550144152_1957516293, 3771734_3771734
1550332559_1952300782, 3769917_3769917
1551424929_2287656248, 3770803_3770803
155178022_1872029322, 3769450_3769450
1554259880_1946577110, 3772081_3772081
155487751_1588613133, 3770852_3770852
1556533453_1952368127, 3770968_3770968
1557953076_1967392569, 3770498_3770498
1557953076_1988273531, 3770993_3770993
1557953076_1990681562, 3769376_3769376
156129856_1925245746, 3771451_3771451
156129856_1929783115, 3771821_3771821
1563128700_1962057625, 3769415_3769415
1565082456_2059727547, 3769501_3769501
156781484_1792259570, 3771478_3771478
1569514813_2024894594, 3772081_3772081
1571402809_2188974129, 3769501_3769501
1574472167_1976463570, 3772039_3772039
1576174475_1981470599, 3772019_3772019
157914753_1672396378, 3771377_3771377
157914753_1672465500, 3770602_3770602
157931057_1588882148, 3769467_3769467
1580507997_2123742950, 3770602_3770602
1580507997_2228978532, 3772088_3772088
1582221544_1998448489, 3771926_3771926
1583903004_1993910805, 3769643_3769643
158486468_1974560606, 3770926_3770926
1585275276_1995779831, 3769472_3769472
1587605406_2061853733, 3769501_3769501
1589791671_2002911516, 3771734_3771734
1589791671_2002973094, 3771234_3771234
1589791671_2007804356, 3769643_3769643
159172081_1641639906, 3769588_3769588
1597499585_2019847648, 3770473_3770473
1599987218_2017794630, 3770782_3770782
1602237161_2123714845, 3772034_3772034
1602237161_2133592268, 3769917_3769917
1606294153_2077476608, 3771169_3771169
1608009925_2224612639, 3772039_3772039
1608208672_2077600464, 3771613_3771613
160949017_2070208362, 3769501_3769501
1609549719_2039240040, 3772190_3772190
1609687258_2053619250, 3772145_3772145
1610502814_2036575543, 3770106_3770106
1610725057_2038942762, 3770361_3770361
1611683964_2039000654, 3771417_3771417
1613168205_2224195246, 3772214_3772214
1613284107_2041453329, 3772221_3772221
1613997375_2070694300, 3771478_3771478
1615650453_2155104627, 3771169_3771169
161834129_2175663776, 3772212_3772212
1618938200_2273883330, 3771110_3771110
1622631596_2058197431, 3770431_3770431
1625506462_2065816588, 3770948_3770948
1628451012_2068117218, 3771608_3771608
1632490020_2080281844, 3772019_3772019
1633725898_2080109181, 3772190_3772190
163377765_2061177261, 3771417_3771417
1633820119_2094883283, 3770803_3770803
1635443519_2258591205, 3769319_3769319
1637386236_2167758471, 3772190_3772190
1638257993_2085091957, 3769643_3769643
1644665664_2128584646, 3769643_3769643
1645088219_2249257320, 3769326_3769326
1646710098_2099788625, 3769415_3769415
1646842020_2162088818, 3770668_3770668
1652551733_2126931626, 3770715_3770715
1652551733_2137973610, 3772221_3772221
165803199_1647799585, 3771225_3771225
165928869_1964553435, 3769899_3769899
1662708539_2127928831, 3769411_3769411
1662945134_2131132195, 3770322_3770322
166306590_2209851030, 3769364_3769364
1663235352_2271491464, 3771478_3771478
166431060_1656473946, 3771009_3771009
166431060_1664352036, 3771712_3771712
1664410910_2131048667, 3771926_3771926
1667411226_2159976143, 3769861_3769861
1667411226_2159982230, 3769861_3769861
1667411226_2188842381, 3769861_3769861
1667411226_2202738540, 3769738_3769738
166924030_1540368741, 3771304_3771304
166924030_1837843350, 3771860_3771860
166924030_2200142430, 3770853_3770853
166924030_2278134049, 3770853_3770853
166992953_1796764910, 3769836_3769836
1681905537_2210321418, 3770691_3770691
1689234913_2172203778, 3771973_3771973
169043566_2058704302, 3770410_3770410
169170147_2101395230, 3769390_3769390
169232314_2211054446, 3769431_3769431
169293246_2258617159, 3769822_3769822
169322939_1934428264, 3770948_3770948
1696418561_2184415566, 3772190_3772190
1699627052_2192308140, 3771926_3771926
1705464848_2213881710, 3769319_3769319
1708433342_2318109586, 3769643_3769643
1708433342_2333590171, 3769643_3769643
1731994426_2289471657, 3770307_3770307
1731994426_2303545734, 3771859_3771859
1735678138_2256933794, 3769917_3769917
1749651834_2281754618, 3771010_3771010
175164734_1934799860, 3771601_3771601
175164734_1942439018, 3771872_3771872
175164734_2010250213, 3771908_3771908
175164734_2017245853, 3772076_3772076
175164734_2160066400, 3771872_3771872
1756320520_2307870676, 3769415_3769415
1756487649_2294686018, 3771821_3771821
1757291434_2336262525, 3770602_3770602
1764807098_2333493958, 3769643_3769643
1766654466_2313796169, 3772039_3772039
1766654466_2318488236, 3769899_3769899
1772534194_2333173298, 3771859_3771859
177705473_1964520614, 3771124_3771124
178307367_1832460851, 3771922_3771922
178307367_1832894022, 3769948_3769948
178307367_1834190489, 3770569_3770569
179499253_1837695366, 3769415_3769415
185068849_2012474423, 3770996_3770996
188658579_1854942301, 3772134_3772134
189222221_1944459710, 3769590_3769590
191002829_2090159273, 3770297_3770297
191636756_2203468082, 3771199_3771199
191636756_2234405081, 3770477_3770477
192412230_2255515584, 3771856_3771856
192816058_1612516015, 3771902_3771902
194455188_2021802138, 3769828_3769828
196901549_2024917141, 3771116_3771116
197252304_1947611737, 3770966_3770966
197279879_1872302284, 3770454_3770454
197279879_1914826578, 3772190_3772190
197668400_2072723848, 3770258_3770258
198906969_1689444445, 3770691_3770691
202099379_1544546521, 3769643_3769643
206130952_1707134245, 3771860_3771860
206130952_2055553391, 3770457_3770457
207903285_1686606796, 3771116_3771116
208106085_1797322502, 3771377_3771377
208106085_1900695166, 3770042_3770042
208106085_2174565362, 3771377_3771377
208106085_2198163881, 3770160_3770160
208516732_1882189476, 3772038_3772038
210985025_1755356755, 3772190_3772190
214822842_1620218180, 3772088_3772088
215053778_1599099280, 3769822_3769822
215346458_2195496316, 3770602_3770602
216949195_2065214727, 3772019_3772019
218445719_1859272309, 3770959_3770959
220074030_1707808735, 3771054_3771054
220074030_1930250592, 3771738_3771738
220074030_1946997162, 3771738_3771738
224099281_2135623280, 3771926_3771926
225717379_2110958321, 3769899_3769899
232453956_1633616532, 3770017_3770017
232453956_1728834743, 3770017_3770017
232453956_1794259338, 3772081_3772081
234621968_1927058911, 3770403_3770403
235466216_1842282985, 3772190_3772190
236012603_1967577364, 3769472_3769472
237119210_1577866933, 3772019_3772019
238446912_2036625964, 3772190_3772190
238464304_1804529381, 3770088_3770088
239586000_1937445115, 3771478_3771478
241974251_1693325101, 3769643_3769643
244381018_1520267523, 3770245_3770245
244381018_1891349173, 3771446_3771446
248135832_2211848017, 3772190_3772190
248288657_1848855360, 3770477_3770477
248288657_1857211579, 3769319_3769319
249060720_1731393335, 3770671_3770671
250555110_2193140020, 3770602_3770602
250904521_2152417276, 3769322_3769322
252312873_1957414269, 3769376_3769376
254855389_1910162888, 3771116_3771116
257679662_2000946311, 3769948_3769948
257748724_1833648365, 3770458_3770458
257748724_1916159785, 3769917_3769917
258027701_1580448262, 3769810_3769810
260367774_1633856422, 3771973_3771973
262676092_1974391707, 3771311_3771311
264394222_1723688298, 3770532_3770532
265357602_2284061908, 3769617_3769617
268601523_2226177514, 3770761_3770761
270869302_2259700751, 3769917_3769917
273681572_1670894087, 3770948_3770948
273924191_1593960020, 3772190_3772190
277639821_1696851274, 3771374_3771374
284219131_1691512415, 3770922_3770922
285059757_1839727237, 3770303_3770303
286228514_1808181943, 3770900_3770900
287183065_2157826686, 3769411_3769411
287795048_1657957228, 3771116_3771116
289141874_2179106112, 3769836_3769836
291693445_2010169643, 3771926_3771926
292467922_1988424004, 3772162_3772162
293608532_1852913763, 3769643_3769643
297390575_1631606938, 3770852_3770852
297394224_1886812494, 3771478_3771478
299810480_2184561961, 3771732_3771732
300308848_2318650853, 3769411_3769411
300547405_1871963424, 3771908_3771908
302273512_1685679162, 3771107_3771107
305695562_2107378863, 3770415_3770415
306208785_1739437092, 3770948_3770948
306622334_2177226907, 3770321_3770321
312222050_1876285255, 3770421_3770421
313835696_1712680315, 3770349_3770349
313835696_1812121374, 3771347_3771347
313835696_1839888461, 3769801_3769801
313835696_1924655740, 3771267_3771267
314834365_1794020638, 3771922_3771922
316586043_2089555824, 3769841_3769841
320337679_2288170466, 3771403_3771403
321142808_2234637071, 3771025_3771025
321142808_2235963587, 3769958_3769958
321711892_2000506005, 3769821_3769821
321711892_2291360736, 3771322_3771322
32189208_1630356569, 3772019_3772019
323534498_2050794623, 3771926_3771926
324149140_1526251404, 3771374_3771374
32445227_1591008151, 3770496_3770496
326026475_1969318676, 3770559_3770559
32642150_1713679340, 3772070_3772070
326655957_2096004788, 3770423_3770423
32750424_2178711262, 3769411_3769411
32865391_1566594559, 3771456_3771456
33128648_1591478958, 3770697_3770697
33128648_1591484954, 3772019_3772019
33128648_1599361236, 3770697_3770697
33128648_1599377303, 3772019_3772019
33128648_1697534661, 3772019_3772019
33128648_1697542340, 3770697_3770697
33128648_1771251473, 3770697_3770697
33128648_1915385326, 3771980_3771980
332536445_1626464607, 3770563_3770563
332536445_1718055220, 3771212_3771212
332536445_1944767115, 3771340_3771340
332536445_1946809792, 3771340_3771340
332884700_2188954095, 3770431_3770431
334806305_1591277719, 3771456_3771456
334806305_1636530303, 3772039_3772039
335317767_2029513563, 3770803_3770803
335653551_2153113755, 3770207_3770207
339062171_1801103460, 3771973_3771973
339091485_1990997678, 3771626_3771626
340713657_1558890831, 3772088_3772088
341969904_1721267101, 3769439_3769439
344348458_1583529724, 3769836_3769836
344929906_2045886974, 3771497_3771497
345591101_1923411700, 3769802_3769802
349120861_1710043847, 3771116_3771116
349120861_1718445137, 4180100_4180100
352825359_1907830542, 3770803_3770803
356667822_1902365230, 3769973_3769973
359430330_2026551247, 3771388_3771388
364009598_2017560629, 3771240_3771240
364664166_1907752265, 3769590_3769590
364664166_2029162414, 3769438_3769438
365753594_1610554279, 3770949_3770949
366238225_1780860138, 3769411_3769411
366683771_2012000009, 3771697_3771697
367456537_2169310332, 3771311_3771311
368668165_1667947827, 3770564_3770564
368812358_1617926205, 3770370_3770370
369137065_1802006702, 3771388_3771388
370240075_2100123703, 3769643_3769643
37067942_1960354963, 3771259_3771259
372946679_2003575705, 3770715_3770715
373119996_2138627751, 3771478_3771478
382029215_2034037128, 3769322_3769322
382455245_1579978500, 3770668_3770668
385051339_1578824251, 3772088_3772088
38578485_1824886680, 3769521_3769521
388663617_1709276979, 3770307_3770307
389668130_1732196899, 3770506_3770506
389668130_1865159128, 3770710_3770710
389668130_2131375032, 3770431_3770431
389668130_2143223545, 3770431_3770431
390049570_2054327681, 3771025_3771025
392222725_1965802436, 3769443_3769443
393111209_1912568241, 3771626_3771626
394709799_2150572807, 3771116_3771116
396415648_1657207885, 3769477_3769477
396785761_1681769245, 3770272_3770272
398823213_1710681507, 3770457_3770457
398823213_1927392193, 3771417_3771417
398823213_1937689934, 3771607_3771607
398823213_2041678326, 3772019_3772019
398823213_2075229706, 3771860_3771860
398823213_2085397834, 3771841_3771841
398823213_2085409526, 3770625_3770625
398823213_2094911511, 3771607_3771607
398823213_2109223774, 3771634_3771634
400729526_2225176138, 3771383_3771383
402278301_1689772514, 3769411_3769411
403593369_1937582936, 3772040_3772040
404494314_2176595175, 3769643_3769643
405031260_1939388343, 3771375_3771375
405031260_1976641373, 3769415_3769415
406826660_1604327706, 3772206_3772206
408720419_2213464762, 3770532_3770532
408938292_1832295156, 3770532_3770532
414737723_1864319233, 3770948_3770948
416884673_2157044463, 3771926_3771926
418354512_1904161844, 3770569_3770569
418360134_2046817830, 5504102_5504102
41845084_1857573722, 3769397_3769397
41845084_1862237809, 3771926_3771926
418766781_2017788646, 3770036_3770036
421711030_1781281593, 3771208_3771208
421711030_1829810053, 3769745_3769745
421711030_1969324804, 3769745_3769745
42209902_2129152534, 3771162_3771162
422310595_1931855175, 3769415_3769415
423565102_1622702993, 3771926_3771926
42459981_1973897859, 3772205_3772205
42473630_2203082050, 3770923_3770923
42473630_2240692818, 3770469_3770469
42691045_1689553234, 3771199_3771199
430294083_1849236172, 3772048_3772048
430449691_1610435383, 3771386_3771386
430581784_2135671783, 3770492_3770492
431066330_2003308922, 3771712_3771712
431493611_1548508568, 3770564_3770564
435069615_1908064554, 3769897_3769897
435129090_1836917461, 3770789_3770789
438341495_2330832631, 3771208_3771208
438551824_2078920996, 3769917_3769917
442345962_1694438277, 3771973_3771973
442345962_1754956351, 3770671_3770671
442837350_1617705918, 3771879_3771879
442837350_1631057657, 3771879_3771879
443188829_1736577515, 3772190_3772190
443368906_1993029562, 3769894_3769894
443887184_1873954909, 3772190_3772190
444117431_1922088484, 3769343_3769343
444117431_1924856581, 3771386_3771386
447290363_1573815044, 3771902_3771902
449420732_2036722042, 3771225_3771225
450791176_2081859518, 3771406_3771406
450791176_2109466837, 3771406_3771406
450791176_2150513831, 3771406_3771406
452859349_1869692541, 3772190_3772190
454032310_2119509836, 3770948_3770948
454032310_2153157729, 3770948_3770948
455683032_1793608643, 3769836_3769836
45846580_1905011396, 3771386_3771386
45846580_1933188452, 3769493_3769493
45846580_2158029284, 3771391_3771391
45917320_1694937550, 4180100_4180100
45917320_1858179998, 3769822_3769822
45917320_1923003553, 3770671_3770671
45917320_2020673857, 3769948_3769948
45917320_2177436841, 3771811_3771811
460689564_1871619649, 3770761_3770761
46196815_1688803666, 3770948_3770948
463002763_1792561897, 3772074_3772074
465075826_1713948650, 3771409_3771409
465075826_1901797695, 3769899_3769899
465370401_1842532492, 3769411_3769411
465370401_2082375042, 3769411_3769411
46589068_1578150555, 3770532_3770532
46640968_1854552101, 3771338_3771338
466626308_1587346291, 3772088_3772088
468381239_1539443372, 3772070_3772070
468643693_2173128285, 5504102_5504102
469473940_2053735445, 3770803_3770803
469473940_2058291198, 3772190_3772190
469473940_2058498793, 3771377_3771377
470249401_1692063567, 3771937_3771937
470556543_1767823837, 3771171_3771171
47321317_1702836345, 3771926_3771926
473926181_1927111247, 3771107_3771107
474528071_1991421873, 3771944_3771944
475393323_1659612740, 3771456_3771456
479536087_1583296565, 3772019_3772019
480922158_1604482583, 3772019_3772019
481502587_1692883918, 3771800_3771800
482890538_1779825407, 3771199_3771199
484059082_2111369905, 3771926_3771926
485810936_1949914395, 3769713_3769713
485810936_1956729394, 3769713_3769713
485810936_1956737053, 3769713_3769713
486285935_2150191582, 3769415_3769415
490297521_1807490629, 3772190_3772190
490330280_2007563943, 3771311_3771311
49063510_1642947036, 3769415_3769415
496126397_1859852878, 3769899_3769899
498514802_1822439870, 3772190_3772190
498797627_1956803517, 3770948_3770948
498797627_2007199304, 3772179_3772179
500739612_2254444020, 3772145_3772145
500976693_2122965130, 3769643_3769643
50118371_1747056175, 3771311_3771311
50118371_1770872582, 3770668_3770668
50118371_1776032736, 3770668_3770668
50118371_2097543213, 3771311_3771311
