ID,READER,SUBSET,PROJ.,BOOK ID,CH. TITLE,PROJECT TITLE,SEX,NAME
5694,3570,test-clean,2635,833,"07 - Chapter IV - Conspicuous Consumption, Part One",Theory of the Leisure Class, F , sarac
5757,3215,train-clean-360,2641,6086,VII - Bothwell Castle.,Scottish Chiefs, F , Shirley Ellen
5909,3118,train-clean-360,2656,4705,00 - Contents,"Treatise Of Human Nature, Volume 1", M , George Yeager
6171,4519,train-clean-360,2676,5676,Chapter 03,Lost Princess, F , Mimi Wang
6379,1578,train-clean-100,2695,21048,04 - The Third Man from the End,Just Patty, F , Lorelle Anderson
6397,4257,train-clean-360,2699,2021,Part 1: Chapter 06 pt 1,Nostromo, M , garbageman99
6498,4356,train-clean-360,2702,6801,A Visit and Its Consequences,Beverly Of Graustark, F , Patricia Rutledge
6524,2299,train-clean-360,2713,11579,"08 - Chapter IV, Settling In, Part One",Journals of Robert Falcon Scott Vol 1, M , cpalmer17
6852,3729,test-clean,2733,2981,"Episode 6, Chapter 6 part 1",Memoirs of Jacques Casanova Vol. 2, F , Heather Hogan
7146,4214,train-clean-100,2759,45,Diana Is Invited to Tea with Tragic Results,Anne of Green Gables (version 5), F , A. Janelle Risa
7235,2149,train-clean-360,2772,26361,42 - Colossians,Bible (ABU) NT 01-27: The New Testament, M , Mark Penfold
7371,2201,train-clean-360,2810,3300,"Ch. 4, Of Drawbacks","Wealth of Nations, Book 4", M , Stephen Escalera
7574,3171,train-clean-360,2828,621,Postscript,Varieties of Religious Experience, M , JoeD
7591,3521,train-clean-360,2832,2148,"Masque of the Red Death, The","Works of Edgar Allan Poe, Raven Edition, Volume 2", M , NickNumber
7622,4290,train-clean-360,2834,1188,Chapter 10,Lair of the White Worm (Version 2), M , Joshua Paul Johnson
7678,5322,train-clean-100,2840,4761,20 - Chapter XX,Cossacks, M , Jay Bidal
7741,3513,train-clean-360,2848,5632,The Secret,Five Little Peppers Midway, F , Symmie
7763,7148,train-clean-100,2850,10378,"Chapter 5, A Crisis in My Mental History, Part 1",Autobiography, F , Vickie Ranz
7793,5186,train-clean-360,2852,9072,1772 part 3,Life of Samuel Johnson Vol. II, M , Brendan Brown
7884,3551,train-clean-360,2863,5090,Chapter 2 - Citizen-Deputy,I Will Repay, F , Annie Kirkpatrick
7943,3083,train-clean-360,2869,4735,01 - Inscriptions and Chapter 1,Shepherd of the Hills, F , Emily Jarmard
8112,3242,train-clean-100,2907,21510,Chapter 07,Legacy, M , peac
8140,925,train-clean-360,2920,16739,04 The Greatest Thing In the World:  The Analysis Part II,Greatest Thing in the World and Other Addresses, F , pattymarie
8226,3536,dev-clean,2935,5140,Mr Bozzle at Home,He Knew He Was Right, F , Arielle Lipshaw
8592,7739,train-clean-360,2992,14168,10 - The Rocker,Widdershins (Version 2), F , Melissa Burns-Price
8674,5810,train-clean-360,3011,2435,13 - The Strong Prince,Crimson Fairy Book, M , Patrick Reinhart
8890,3549,train-clean-360,3027,482,Chapter 10,Woodlanders, F , Katie Riley
9006,2902,dev-clean,3044,6308,Preface (3648 words),Hypatia, M , dexter
9174,3221,train-clean-360,3065,4602,"11 - The christian conception of life has already arisen in our society, and will infallibly put an end to the present organization of our life based on force--When that will be",Kingdom of God is within you, M , David Schoepf
9203,3549,train-clean-360,3073,12758,The Torture by Hope,"Library of the World's Best Mystery and Detective Stories, Volume 4", F , Katie Riley
9321,3546,train-clean-360,3087,8867,Chapter 03,Magnificent Ambersons (Growth Trilogy Vol 2) Version 2, F , Jeannie
9554,3112,train-clean-100,3114,5978,Preface,Autobiography of Anthony Trollope, F , Jessica Louise
9914,3889,train-clean-360,3158,135,<b>Bk 01</b> Ch 01-04,Miserables Vol. 3, F , Alina
10088,3914,train-clean-360,3171,1093,03 - Chapter III,Beast in the Jungle, M , Rob James
10160,4495,train-clean-360,3185,1438,"05 - 1st Scene, Chapter 5",No Name, M , Dillon Stiles
10327,3009,train-clean-360,3204,17611,01 - Question. 50 - OF THE SUBSTANCE OF THE ANGELS ABSOLUTELY CONSIDERED (FIVE ARTICLES),"Summa Theologica - 03 Pars Prima, Angels and the Six Days", M , Jim Ruddy
10594,1970,train-clean-100,3230,21904,He Will Never Forgive,Millionaire Baby, F , Dawn Larsen
10642,7316,train-clean-360,3240,4939,12 X. The Ballades: Faery Dramas,Chopin: the Man and His Music, F , Joy S Grape
10673,1337,train-clean-360,3241,128,"The Story of the First Calendar, Son of a King",Arabian Nights Entertainments, M , Steven Rushing
10798,4010,train-clean-360,3264,9057,06 - The Heart with the Treasure,Unspoken Sermons, M , David Baldwin
10927,4051,train-clean-100,3273,1399,Book 2 Chapter 09,"Anna Karenina, Book 2", F , Liz Devens
10988,5489,train-clean-360,3274,5670,Chapter 07,Jacob's Room, F , LizMourant
11049,4363,train-clean-360,3276,1709,Chapter 30 - Waiting on Destiny,New Grub Street, F , Emily Livingston
11077,4054,train-clean-360,3279,8995,Chapter 2: An invitation,What Katy Did Next, M , Ryan Gubele
11217,4051,train-clean-100,3292,976,The Golden Fleece (Part 3),Tanglewood Tales, F , Liz Devens
11243,666,train-clean-360,3298,35505,13 - The Bazaar,Anna of the Five Towns, F , Monique
11254,4057,train-clean-360,3299,2686,Great City Snobs,Book of Snobs, F , RoseA
11512,3994,train-clean-360,3314,29255,The Attack from Space,"Astounding Stories 09, September 1930", F , Miriam Esther Goldman
11546,4098,train-clean-360,3315,27990,Chapter 3 Part 1: The meeting,Theo, F , Rachell Lovett
11599,3235,train-clean-100,3318,19499,10- Measure,Music Notation and Terminology, F , Karen Commins
11691,83,train-clean-100,3337,27771,10 - Chapter 9 - They are Afraid of Udo,Once on a Time, F , Catharine Eastman
11714,3664,train-clean-100,3339,2741,1-02 - The Borgias: Prologue,"Celebrated Crimes, Vol. 1", M , Barry Eads
12085,4057,train-clean-360,3378,21892,A Night's Work,At the Time Appointed, F , RoseA
12312,254,train-clean-100,3399,8166,Chapter 1.LVIII.A prophetical Riddle,"Gargantua and Pantagruel, Book I", M , Alan Davis Drake (1945-2010)
12332,28,train-clean-360,3401,30970,01 - The Adventure of the Cantankerous Old Lady,Miss Cayley's Adventures, F , Kristin Hughes
12359,2911,train-clean-100,3406,14293,"""Fit for Drink""",Complete Book of Cheese, M , David Lawrence
12471,4427,train-clean-360,3413,2848,"16 - Book 3, Ch 01","Antiquities of the Jews, Volume 1", F , Lynne Handler
12529,3830,train-clean-100,3415,29543,11 - Hunting for Another Home Site,Ox-Team Days on the Oregon Trail, M , rymd80
12707,4226,train-clean-360,3422,28452,01- Meat Part 1,American Housewife, M , Jud Niven
12761,5778,train-clean-100,3423,7882,24 - Chapter 24,Life of Kit Carson, F , Laura Victoria
12895,4238,train-clean-360,3434,8859,01 - A Frontier Farm,True to the Old Flag, F , Chela
12926,4152,train-clean-360,3435,1482,02 - A Portrait from Life,Modeste Mignon, M , Ata Khudayberdiev
12971,3025,train-clean-360,3439,25474,Part 1 - The City; Ch 1,Job, F , MichelleHarris
13006,4297,train-clean-100,3440,2158,"Ch 05: ""No One Knows Anything About Him""",Prime Minister, F , Tina Horning
13185,4860,train-clean-360,3448,16349,26 - The Isle Of Blasted Hopes,Book of the Bush, M , Jonah Cummings
13247,3389,train-clean-360,3466,4540,03 - Chapter 3,In His Steps, M , von
13364,5724,train-clean-360,3475,2351,26 - Chapter 26,"John Halifax, Gentleman", F , paintgirl
13751,4077,test-clean,3484,5630,Chapter 02,Story of 'Mormonism', M , Nathan Markham
14013,4145,train-clean-360,3499,12669,Chapter 22,"Marriage, volume 1", F , Patti Cunningham
14133,5339,train-clean-100,3503,4537,17 - The Engagement,Sylvia's Lovers, F , Lauren McCullough
14187,4160,train-clean-100,3505,11128,08 - Chapter 08 - A Suspicious Accident,Red Thumb Mark, F , Rosie
14274,3003,train-clean-360,3509,6823,1871,"Army Letters from an Officer's Wife, 1871-1888", F , Sue Anderson
14358,1401,train-clean-360,3518,4927,Rinaldo and Bayard,Legends of Charlemagne, F , Sibella Denton
14497,4425,train-clean-360,3530,2876,Chapter 10,Light That Failed, M , Gary Coy
14526,4290,train-clean-360,3531,12369,Selections from The History of the United States,"Library of the World's Best Literature, Ancient and Modern, volume 1", M , Joshua Paul Johnson
14653,1212,train-clean-360,3538,481,14 - Chapter 14,In the Bishop's Carriage, F , Lee Ann Howlett
14672,3615,train-clean-360,3540,10011,February,365 Foreign Dishes, F , Lucy Perry
14897,4381,train-clean-360,3551,10991,Chapter 7 - The Dalmatian,Dogs and All About Them, F , Denise Resnik
14958,6206,train-clean-360,3552,30006,06 - Chapter 6,Cloudy Jewel, F , Yvonne Smith
15045,2911,train-clean-100,3560,6933,Intro. pt 01: Native Tribes: Divisions,Jesuits in North America in the 17th Century, M , David Lawrence
15220,4340,train-clean-100,3569,3795,13 - Somebody Runs Away,Under the Lilacs, F , kiwafruit
15304,4839,train-clean-360,3574,11953,Ch 27 The Wars of Italy--Louis XII (1498-1515) pt 1,Popular History of France from the Earliest Times vol 3, F , Julie K. Rose
15446,688,train-clean-360,3583,19019,Potash - Phosphorous,Aids to Forensic Medicine and Toxicology, F , J. M. Smallheer
15663,4362,train-clean-100,3592,326,04 - A Perilous Night on Shasta's Summit,Steep Trails, F , Michelle Montano
15787,5688,train-clean-100,3597,1000010,"04 - Part 2, Section 2",Autobiography of Cockney Tom, F , Jennifer Dionne
16002,4490,train-clean-360,3608,135,Bk 01 Ch 03,Miserables Vol. 4, F , Rachel Weaver
16632,1752,train-clean-360,3639,15709,01 - Chapters 1 - 4,Christmas Angel, F , Jan MacGillivray
16802,4433,train-clean-360,3652,28900,People to Perverse,English Synonyms and Antonyms, M , Ken Sterry
16882,4406,train-clean-100,3653,851,01 - part 1,Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson, M , Matthew Scott Surprenant
17498,4481,train-clean-100,3683,16566,01 - Prefatory; The Doyles are Astonished,Aunt Jane's Nieces Abroad, F , margo zinberg
17615,3493,train-clean-360,3686,34426,25 - Chapter 25,Enchanted Barn, F , Gail Mattern
17942,2156,train-clean-360,3696,18149,08 - Chapter 8,"Conjuror's House, a Romance of the Free Forest", M , Roger Melin
18004,4590,train-clean-360,3699,3810,08  Chapter VIII - THE DEATH OF THE FIRST MAN-EATER,Man-Eaters of Tsavo, M , Diapadion
18515,5163,train-clean-100,3724,6987,14 - The Island of Marken,Five Little Peppers Abroad, F , LilyAnne
18533,4495,train-clean-360,3726,1355,02 - On the Road,Underground City or the Child of the Cavern, M , Dillon Stiles
19132,4064,train-clean-360,3760,5829,Chapter 09,Moneychangers, F , Margaret Espaillat
19187,4640,train-clean-100,3762,135,Bk 1 Ch 2-3,Miserables Vol. 5, F , Karen Mason
19361,3032,train-clean-360,3766,28613,Lecture III: Kepler and the Laws of Planetary Motion,Pioneers of Science, M , Utek
19396,5192,train-clean-100,3767,1079,Chapter 38-42,"Life and Opinions of Tristram Shandy, Gentleman, Vol. 4", M , Jason Esteves
19585,3816,train-clean-360,3772,11323,Volume the Second  Chapter 04,Caleb Williams or Things As They Are, F , Bev J Stevens
19665,4586,train-clean-360,3773,24210,34 - Coming to an Understanding.,Deerbrook, M , Chris Caron
20016,4898,train-clean-100,3788,17189,01 - Christmas Revived,"Autumn Leaves, Original Pieces in Prose and Verse", M , greatbasinrain
20410,4856,train-clean-360,3802,12187,"05 - Chapter 3 - ""A Chiel's Amang Ye Takin' Notes"", part 2",Mystery of 31 New Inn, M , Steven Seitel
21305,6189,train-clean-360,3834,13728,Bk. 3 Ch. 6,Marcella, F , Shana Cohen
21393,4289,train-clean-360,3836,3722,The Winged Victory,Daughter of the Land, F , Veronica Jenkins
21493,3717,train-clean-360,3840,5615,The Wounded Lion,Pink Fairy Book, M , Elliott Miller
21625,32,train-clean-100,3844,6754,01 - A Queer Place to Live,Tale of Brownie Beaver, F , Betsie Bush
22176,4859,train-clean-100,3859,2600,Chapter 15,"War and Peace, Book 15: 1812-1813", M , nathank
22574,2589,train-clean-360,3871,5750,Dorothy and Richard (Part 1),"St. George and St. Michael, Volume 1", M , Jordan
23268,3536,dev-clean,3894,22002,07 - Volume I - Chapter 7,Simple Story, F , Arielle Lipshaw
24512,5390,train-clean-100,3926,30908,Chapter 9 - The Destruction of Jerusalem,Bible in Its Making, M , Charles Bice
24615,5338,dev-clean,3932,4964,13 - Chapter VIII: A Scottish Manor-House Sixty Years Since,"Waverley, Volume 1", F , S R Colon
24731,4854,train-clean-360,3935,3800,"1-04-Part I, Propositions 11 to 15",Ethics, M , Doctor_wu
24833,1988,dev-clean,3939,24921,"18 - ""Here's to Cat!""","It's Like This, Cat (Version 2)", F , Ransom
25563,2156,train-clean-360,3969,30228,In Which Bluff is Trumps,Officer 666, M , Roger Melin
25765,4719,train-clean-360,3978,29786,01 - Chapter 1,Raiding with Morgan, M , M. Craun
25898,4830,train-clean-100,3982,26041,06- Madam Cluck and her Family,Aunt Jo's Scrapbag, M , George Aalto
25947,5049,train-clean-100,3985,3050,03 - The Spanish-American War: The Rough Riders at Guasimas,Notes of a War Correspondent, M , Bradley Smith
26100,1970,train-clean-100,3990,22781,The Answer,32 Caliber, F , Dawn Larsen
26496,5093,train-clean-360,4002,2848,"14 - Book 7, Ch 08","Antiquities of the Jews, Volume 2", F , Nicole Kay
26553,4967,train-clean-360,4003,24714,07 -  	How the Speckled Hen Got Her Speckles,Fairy Tales from Brazil, F , Karen
26685,5290,train-clean-360,4008,32429,In which Cassandra visits David Thryng's Ancestors,Mountain Girl, F , Natalie
26852,4807,train-clean-360,4015,15705,05 - M-Q,Silly Syclopedia, F , Fuzz
26870,4859,train-clean-100,4016,2600,Chapter 08,"War and Peace, Book 16: First Epilogue 1813-1820", M , nathank
26894,4806,train-clean-360,4017,2197,Chapter 1,Gambler, M , Jason Ingolfsland
26947,5115,train-clean-360,4018,24020,22 - The Prisoners,Romola, F , Terry Goodyer
27120,1259,train-clean-360,4023,1342,Chapter 8,Pride and Prejudice (version 4), F , Elizabeth Klett
27504,5126,train-clean-360,4033,1198,Chapter 44,Robbery Under Arms, M , Tom Lennon
27593,1335,train-clean-360,4039,12069,Entrees,Joe Tilden's Recipes for Epicures, F , Clarica
27670,4853,train-clean-100,4043,22215,Chapter 3,Frozen Pirate, F , Barbara Derksen
27760,254,train-clean-100,4045,13437,Vanka,Best Russian Short Stories, M , Alan Davis Drake (1945-2010)
28233,5105,test-clean,4060,1353,"02 - Book 1, Chapter 2",Off on a Comet, M , elongman
28375,3357,train-clean-360,4063,26117,03 - ROMAN WOMEN. LAWS AND CUSTOMS RESPECTING THE ROMAN WOMEN.,Sketches Of The Fair Sex, F , swade
28415,1970,train-clean-100,4064,19087,12 - In Jerusalem,King Nobody Wanted, F , Dawn Larsen
28433,3235,train-clean-100,4066,22409,07 - Going to Nome,Woman Who Went to Alaska, F , Karen Commins
28461,4898,train-clean-100,4067,7345,04 - The Stickeen River,Travels in Alaska, M , greatbasinrain
28868,4967,train-clean-360,4090,3622,30 - What Came of the Meeting,Duke's Children, F , Karen
29012,3967,train-clean-360,4093,643,Chapter IX,Death of the Lion, F , Christine Dufour
29090,4945,train-clean-360,4097,3178,09 - Chapter 9,Gilded Age, M , Charles RUHE
29340,4859,train-clean-100,4104,2600,Chapter 02,"War and Peace, Book 17: Second Epilogue", M , nathank
29405,5022,train-clean-100,4107,3634,06 - The Return of the Portfolio,Guilty River, F , Kathleen Costa
30096,5390,train-clean-100,4131,10359,01 - Uncle John's Farm,Aunt Jane's Nieces at Millville, M , Charles Bice
30591,5133,train-clean-360,4147,24873,Kismet,"Lucy Maud Montgomery Short Stories, 1896 to 1901", F , Jo Karabasz
31089,5012,train-clean-360,4165,21004,06 - The Skull and the Rose,Singing Mouse Stories, F , Morgan Schlicker
31603,5007,train-clean-360,4184,1560,Fighting Flames with Dynamite,San Francisco Calamity by Earthquake and Fire, F , Kathleen Nelson
31668,4744,train-clean-360,4185,11377,06 - Chapter VI,Man Whom the Trees Loved, F , Amy Gramour
31957,908,test-clean,4199,2002,4 - Chapters 31-44,Sonnets from the Portuguese (version 2), M , Sam Stinson
32135,5147,train-clean-360,4207,4032,34  [Part V. The Colonies of Atlantis]: Chapter I. The Central American and Mexican Colonies.,Atlantis: The Antediluvian World, M , Cody2
32451,5063,train-clean-360,4219,9405,01 - Chevy Chace,Book of Old English Ballads, F , susanfrom
32637,4899,train-clean-360,4228,2515,03 - Chapter 3,Stepping Heavenward (version 2), F , Theresa L. Downey
32856,6014,train-clean-360,4238,9983,01 - Relating How I Rode Through The Village Of Gylingden With Mark Wylder's Letter In My Valise,Wylder's Hand, F , Tina Nuzzi
33396,5142,test-clean,4260,24811,"03 - Part I, Olaf's farm",Viking Tales, F , Mary Ballard-Johansson
34478,5400,train-clean-360,4311,1399,"Book 3, Chapter 3","Anna Karenina, Book 3", F , Natalie Sullivan
34572,5123,train-clean-360,4314,12587,"004 - Part I, Book the First, Chapter I - Portland Bill",Man Who Laughs, M , wvthcomp
35690,5750,train-clean-100,4356,10800,"30 - Partition 2, Section 4 , Member 1, Subsection 1",Anatomy of Melancholy Volume 2, M , laurencetrask
35921,5242,train-clean-360,4360,2893,01 - Chapter 1 - The Deputation,Wizard, M , Michael Monhollon
36146,2149,train-clean-360,4365,3127,15 - The Heart of New England,Being a Boy, M , Mark Penfold
36377,5142,test-clean,4373,7891,02 - THE NEW FACES,Dead Alive, F , Mary Ballard-Johansson
36586,5142,test-clean,4384,2300,II On Manner of Development of Man from some Lower Form pt.1,"Descent of Man and Selection in Relation to Sex, Part 1", F , Mary Ballard-Johansson
36616,2764,train-clean-100,4385,2488,02 - Pros and Cons,Twenty Thousand Leagues Under the Sea (Version 2), F , Piper Hale
36956,5126,train-clean-360,4400,32393,02 - Toby Runs Away From Home,Toby Tyler or Ten Weeks with a Circus, M , Tom Lennon
37090,5337,train-clean-360,4407,27726,"Part 1, chapter 4",Tolstoy on Shakespeare, F , Danielle
37134,1195,train-clean-360,4410,7129,02 - Introduction,Prospective Mother, F , Jennette Selig
37999,5189,train-clean-360,4434,1446,A Chapter for Schoolgirls,Perfect Behavior, M , Samanem
38026,5583,train-clean-360,4436,30973,11 - The Widow's Son,East of the Sun and West of the Moon, F , Claudia Wilson
38660,4800,train-clean-360,4459,3633,"19 - Part 1, Chapter 19",Jezebel's Daughter, F , Mary Herndon Bell
39173,5463,train-clean-100,4471,2860,"21 - Why Puck, the Pony, Was Beaten",Framley Parsonage, M , GLM
39475,5290,train-clean-360,4481,10337,01 - Mrs. Silvia Tebrick is all of a sudden a fox.,Lady Into Fox, F , Natalie
39501,3092,train-clean-360,4482,4204,Ch. VII: The Sea and its Shores,Elements of Geology, F , Maggie Russell
39616,4071,train-clean-360,4485,2609,02 - The Messenger,Vicomte De Bragelonne, F , Nichelle von Lauder
39749,5093,train-clean-360,4486,2848,"08 - Book 12, Ch 03","Antiquities of the Jews, Volume 3", F , Nicole Kay
39840,3645,train-clean-360,4488,1399,05 - Chapter 5,"Anna Karenina, Book 4", F , MaryAnn
39910,5740,train-clean-360,4490,24874,The Josephs' Christmas,"Lucy Maud Montgomery Short Stories, 1902 to 1903", F , Alisa
39938,5652,train-clean-100,4491,22775,The General Methods of Psychotherapy,Psychotherapy, F , amicrazy2u
39967,7957,train-clean-360,4492,852,07 - The Democratic Conception in Education,Democracy and Education: An Introduction to the Philosophy of Education, M , Wiley Combs
40544,6446,train-clean-360,4518,12788,Excerpts from Beowulf,"Library of the World's Best Literature, Ancient and Modern, volume 2", M , Bob Gonzalez
40744,5639,test-clean,4527,14420,22 - The Force of Blood,Exemplary Novels of Miguel de Cervantes Saavedra, M , Ulf Bjorklund
41151,5266,train-clean-360,4544,1399,"Book 6, Chapter 11","Anna Karenina, Book 6", F , Jill
41232,5688,train-clean-100,4545,13610,28 Appendix A: The Influence of Menstruation on the Position of Women,"Studies in the Psychology of Sex, Volume One", F , Jennifer Dionne
41259,5583,train-clean-360,4549,31100,"Love and Freindship, Part 3 (Letters 14-15)",Jane Austen's Juvenilia, F , Claudia Wilson
41610,6054,train-clean-360,4557,17811,10 - Julia Performs a Sacred Duty,"Grace Harlowe's Junior Year at High School; or, Fast Friends in the Sororities", F , Leslie Stevens Suhy
41797,4992,test-clean,4566,10540,18 - The House of Lords,Mother Careys Chickens, F , Joyce Martin
41911,5389,train-clean-360,4568,6746,05 - Janni and the Draken,Grey Fairy Book, M , Joseph Lawler
41997,6081,train-clean-100,4570,4071,14,Monsieur Lecoq Part 1: The Inquiry, M , Lazuli
42637,5319,train-clean-360,4593,16158,09 - Chapter 9,Facts of Reconstruction, M , Guero
43296,5723,train-clean-360,4617,14021,"02 - Book 1 - The Advent: Chapter 1, Part 2",Lord of the World, F , Linda Hogan
43358,5536,dev-clean,4618,340,01 - Ch 01 - The Great Mystery,Soul of the Indian, M , David Mix
44575,4973,train-clean-360,4655,16317,Ch. I: Acquiring Confidence Before an Audience,Art of Public Speaking, M , Michael Lipschultz
44912,6160,train-clean-360,4671,137,Part 2,"Sara Crewe: or, What Happened at Miss Minchins Boarding School (version 2)", F , FaithR
44937,4358,train-clean-360,4673,1325,Chapter 16 - Arts at Hull House,Twenty Years at Hull House, M , Kim Stich
45204,4595,train-clean-360,4683,12441,08 - A String of Gold Beads,House of a Thousand Candles (version 2), M , Eric Leach
46240,5684,train-clean-360,4721,2300,IX - Secondary Sexual Characters in the Lower Classes of the Animal Kingdom,"Descent of Man and Selection in Relation to Sex, Part 2", F , Elsa Youngsteadt
46267,5655,train-clean-360,4722,12317,The Valentine Party,Two Little Knights of Kentucky, F , Christine Rodriguez
46588,688,train-clean-360,4734,33410,19 - My Blue Gum Grove,A-Birding on a Bronco, F , J. M. Smallheer
46712,3493,train-clean-360,4738,9102,"40, ""So Shall ye Reap""",Run to Earth, F , Gail Mattern
46889,5776,train-clean-360,4748,21069,A Cape Horn Gale,For Treasure Bound, M , Chris Pauley
47030,5727,train-clean-360,4753,8128,03 Incense,In Ghostly Japan, M , JDavidMoore
47198,5703,train-clean-100,4763,9746,02 Chapter II,Ashiel Mystery - A Detective Story, M , Garth Comira
47237,5157,train-clean-360,4764,15437,"Letters from Sir William Hamilton to Lady Hamilton, Letters 10-17","Letters of Lord Nelson to Lady Hamilton, Volume II", M , drewmac
47246,3699,train-clean-100,4765,17780,Amos Barton - 04,Scenes of Clerical Life, M , Bruce Pirie
47541,6918,train-clean-360,4776,10800,"05 - Partition 3, Section 1, Member 3",Anatomy of Melancholy Volume 3, F , Marilyn Mack
47824,118,train-clean-100,4784,10869,13 - The Amazing Meeting in the Shadows of the Old Courtyard - part 1,Abandoned Room, M , Alex Buie
48032,6119,train-clean-360,4794,308,Chapter 6,Three Men in a Boat (To Say Nothing of the Dog) (version 2), M , Vinnie Tesla
48361,5746,train-clean-360,4806,2848,"09 - Book 17, Ch 05","Antiquities of the Jews, Volume 4", M , DL Pead
48513,4438,train-clean-360,4812,34366,03 - Chapter III,Vera, M , Greg W.
48579,5767,train-clean-360,4813,3438,06 - Two Hundred and Fifty-fifth Night to Two Hundred and Fifty-seventh Night,"Book of A Thousand Nights and a Night (Arabian Nights), Volume 04", M , taijohn
48830,5618,train-clean-360,4820,4599,32 - Pawkins's in Jermyn Street,Small House at Allington, F , Shirleyroses
49750,5723,train-clean-360,4854,11417,The Lay of The Two Lovers,French Mediaeval Romances from the Lays of Marie de France, F , Linda Hogan
50561,174,dev-clean,4884,2032,Introduction,Martin Pippin in the Apple Orchard, M , Peter Eastman
