Title,Poet,urls
Three Dreams of Korea: Notes on Adoption,Lee Herrick,https://www.poetryfoundation.org/poems/57216/three-dreams-of-korea-notes-on-adoption
ROYGBIV,Fred D'Aguiar,https://www.poetryfoundation.org/poetrymagazine/poems/51949/roygbiv
Triptych for Topological Heart,Alice Fulton,https://www.poetryfoundation.org/poetrymagazine/poems/57068/triptych-for-topological-heart
On Gardens,Rick Barot,https://www.poetryfoundation.org/poetrymagazine/poems/56242/on-gardens
Gwendolyn as Lover,CM Burroughs,https://www.poetryfoundation.org/poetrymagazine/poems/141960/gwendolyn-as-lover
Pineola,Sy Hoahwah,https://www.poetryfoundation.org/poetrymagazine/poems/150925/pineola
Our Jim,Cathy Park Hong,https://www.poetryfoundation.org/poetrymagazine/poems/53501/our-jim
J. Beer 1969-1969,John Beer,https://www.poetryfoundation.org/poems/53659/j-beer-1969-1969
Girl Soup,Sawako Nakayasu,https://www.poetryfoundation.org/poems/150167/girl-soup
Simple Gift,Cedar Sigo,https://www.poetryfoundation.org/poems/53071/simple-gift
They Killed Cows. I Killed Them.,Tishani Doshi,https://www.poetryfoundation.org/poetrymagazine/poems/152959/they-killed-cows-i-killed-them
I Want to Read at the White House,Joshua Clover,https://www.poetryfoundation.org/poems/91901/i-want-to-read-at-the-white-house
The Lovers of the Poor,Gwendolyn Brooks,https://www.poetryfoundation.org/poems/43317/the-lovers-of-the-poor
On the Subject of Doctors,James Tate,https://www.poetryfoundation.org/poems/52326/on-the-subject-of-doctors
"Captain Lovell, [""Dad calls her the Dowager but I call her Aunt G.""]",Gabrielle Calvocoressi,https://www.poetryfoundation.org/poetrymagazine/poems/56895/captain-lovell-dad-calls-her-the-dowager-but-i-call-her-aunt-g
John Sutter,Yvor Winters,https://www.poetryfoundation.org/poems/47782/john-sutter
The Tongue,Tommye Blount,https://www.poetryfoundation.org/poetrymagazine/poems/57722/the-tongue
Charles Graner Is Not America,Geoffrey Brock,https://www.poetryfoundation.org/poems/51506/charles-graner-is-not-america
I Love Country Music,Paul Killebrew,https://www.poetryfoundation.org/poems/53676/i-love-country-music
Prodigy,Charles Simic,https://www.poetryfoundation.org/poems/42953/prodigy-56d2219d7ceb0
The Month of June: 13 1/2,Sharon Olds,https://www.poetryfoundation.org/poetrymagazine/poems/35591/the-month-of-june-13-1-2
Lunar Shatters,Melissa Broder,https://www.poetryfoundation.org/poetrymagazine/poems/57572/lunar-shatters
LA Odyssey,Cedar Sigo,https://www.poetryfoundation.org/poems/58018/la-odyssey
Politics,Randall Mann,https://www.poetryfoundation.org/poems/55025/politics-56d23616d1f32
There She Is,Linda Gregg,https://www.poetryfoundation.org/poems/52233/there-she-is
[I have become wealthy in a foreign land],Johannes Göransson,https://www.poetryfoundation.org/poems/145397/i-have-become-wealthy-in-a-foreign-land
Conversation 23: On Cause,Rosmarie Waldrop,https://www.poetryfoundation.org/poems/53468/conversation-23-on-cause
No Sex for Priests,Heather McHugh,https://www.poetryfoundation.org/poems/52562/no-sex-for-priests
"Body of Rags, International Bridge Between the US & Mexico",Ray Gonzalez,https://www.poetryfoundation.org/poetrymagazine/poems/149246/body-of-rags-international-bridge-between-the-us-mexico
"[listen mother, he punched the air: I am not your son dying]",D. A. Powell,https://www.poetryfoundation.org/poems/51087/listen-mother-he-punched-the-air-i-am-not-your-son-dying
The Secret Panel,Jeffrey Jullich,https://www.poetryfoundation.org/poems/53652/the-secret-panel
Minor Miracle,Marilyn Nelson,https://www.poetryfoundation.org/poems/47528/minor-miracle
Sonnets from the Portuguese 43: How do I love thee? Let me count the ways,Elizabeth Barrett Browning,https://www.poetryfoundation.org/poems/43742/sonnets-from-the-portuguese-43-how-do-i-love-thee-let-me-count-the-ways
Ozymandias,Percy Bysshe Shelley,https://www.poetryfoundation.org/poems/46565/ozymandias
Film Noir,Aram Saroyan,https://www.poetryfoundation.org/poetrymagazine/poems/57986/film-noir-56d23bf84ddb4
You've Ruined My Evening/You've Ruined My Life,Tom Raworth,https://www.poetryfoundation.org/poems/54604/youve-ruined-my-evening-youve-ruined-my-life
Curriculum Vitae,Samuel Menashe,https://www.poetryfoundation.org/poems/51423/curriculum-vitae-56d22f264fdf8
The Ode on a Grecian Urn,Patricia Lockwood,https://www.poetryfoundation.org/poetrymagazine/poems/143936/the-ode-on-a-grecian-urn
Gas Station Rest Room,Alan R. Shapiro,https://www.poetryfoundation.org/poetrymagazine/poems/51590/gas-station-rest-room
Poetry Failure,Mark Halliday,https://www.poetryfoundation.org/poems/55015/poetry-failure
Love Song: I and Thou,Alan Dugan,https://www.poetryfoundation.org/poems/55170/love-song-i-and-thou-56d236709aeab
"Daynight, With Mountains Tied Inside",Alice Fulton,https://www.poetryfoundation.org/poetrymagazine/poems/55540/daynight-with-mountains-tied-inside
skype healer,Emmalea Russo,https://www.poetryfoundation.org/poems/150341/skype-healer
The Editor’s Ex,Caitlin Doyle,https://www.poetryfoundation.org/poems/92715/the-editor39s-ex
Decoy Gang War Victim,Carmen Giménez,
Outbound,Hieu Minh Nguyen,https://www.poetryfoundation.org/poetrymagazine/poems/146002/outbound
Poem,Claudia La Rocco,https://www.poetryfoundation.org/poems/147705/poem-5b802ed140a14
poem in praise of menstruation,Lucille Clifton,https://www.poetryfoundation.org/poems/54584/poem-in-praise-of-menstruation
The Phrases of the Moon,Andrew Joron,https://www.poetryfoundation.org/poems/90622/the-phrases-of-the-moon
On What Planet,Kenneth Rexroth,https://www.poetryfoundation.org/poems/54452/on-what-planet
In the Next Next World,Gillian Conoley,https://www.poetryfoundation.org/poems/146975/in-the-next-next-world
Prayer for the Mutilated World,sam sax,https://www.poetryfoundation.org/poetrymagazine/poems/147631/prayer-for-the-mutilated-world
I Just Want to Live Long Enough to See Allen Iverson Live Long Enough to Get His Reebok Check,Jason McCall,https://www.poetryfoundation.org/poetrymagazine/poems/156069/i-just-want-to-live-long-enough-to-see-allen-iverson-live-long-enough-to-get-his-reebok-check
My Therapist Wants to Know about My Relationship to Work,Tiana Clark,https://www.poetryfoundation.org/poetrymagazine/poems/148109/my-therapist-wants-to-know-about-my-relationship-to-work
In Love with You,Kenneth Koch,https://www.poetryfoundation.org/poetrymagazine/poems/26647/in-love-with-you
Where Everything Waits,Ish Klein,https://www.poetryfoundation.org/poems/53889/where-everything-waits
April to May,Joyce Peseroff,https://www.poetryfoundation.org/poems/57966/april-to-may
Dust Poem,Philip Jenks,https://www.poetryfoundation.org/poems/91998/dust-poem
Queerodactyl,Roy G. Guzmán,https://www.poetryfoundation.org/poetrymagazine/poems/144620/queerodactyl-59e4e3e2c2d7a
Queerodactyl,Roy G. Guzmán,https://www.poetryfoundation.org/poetrymagazine/poems/144623/queerodactyl
Queerodactyl,Roy G. Guzmán,https://www.poetryfoundation.org/poetrymagazine/poems/144622/queerodactyl-59e4e4960601a
Having My Cards Read,W. S. Di Piero,https://www.poetryfoundation.org/poetrymagazine/poems/52601/having-my-cards-read
how many of us have them?,Danez Smith,https://www.poetryfoundation.org/poetrymagazine/poems/145991/how-many-of-us-have-them
Jagged Winter Trail Designs,Sy Hoahwah,https://www.poetryfoundation.org/poetrymagazine/poems/150923/jagged-winter-trail-designs
Elegy for the Quagga,Sarah Lindsay,https://www.poetryfoundation.org/poetrymagazine/poems/51684/elegy-for-the-quagga
Storm Windows,Howard Nemerov,https://www.poetryfoundation.org/poems/42695/storm-windows
ain't that easy,erica lewis,https://www.poetryfoundation.org/poems/144229/ain39t-that-easy
Bath,Stuart Dybek,https://www.poetryfoundation.org/poems/52191/bath-56d23076776f1
"The Muse, or Stars Out on Interstate 81 South",Jon Pineda,https://www.poetryfoundation.org/poems/57668/the-muse-or-stars-out-on-interstate-81-south
Barbie Chang’s Tears,Victoria Chang,https://www.poetryfoundation.org/poetrymagazine/poems/90672/barbie-changs-tears
Conversation 12: On Hieroglyphs,Rosmarie Waldrop,https://www.poetryfoundation.org/poems/53467/conversation-12-on-hieroglyphs
Non Redibimus,Jill Alexander Essbaum,https://www.poetryfoundation.org/poetrymagazine/poems/53140/non-redibimus
Look to the New Moon,Mai Der Vang,https://www.poetryfoundation.org/poetrymagazine/poems/150294/look-to-the-new-moon
What’s Left,W. S. Di Piero,https://www.poetryfoundation.org/poetrymagazine/poems/54548/whats-left
Beautiful Habit,Tom Raworth,https://www.poetryfoundation.org/poems/54607/beautiful-habit
Death,Donald Revell,https://www.poetryfoundation.org/poetrymagazine/poems/51171/death-5964e24388316
The Language of Joy,Jacqueline Allen Trimble,https://www.poetryfoundation.org/poetrymagazine/poems/156065/the-language-of-joy
Hello Kitty Virgin Mary,Feliz Lucia Molina,https://www.poetryfoundation.org/poems/146183/hello-kitty-virgin-mary
Immigrant Blues,Li-Young Lee,https://www.poetryfoundation.org/poems/52210/immigrant-blues
Even Bees Know What Zero Is,Christian Wiman,https://www.poetryfoundation.org/poetrymagazine/poems/151737/even-bees-know-what-zero-is
Poem,Thomas McGrath,https://www.poetryfoundation.org/poems/53127/poem-56d2322727f3f
Mother's Closet,Maxine Scates,https://www.poetryfoundation.org/poems/51129/mothers-closet
From “Ithaca”,Grigori Dashevsky,https://www.poetryfoundation.org/poetrymagazine/poems/57540/from-ithaca
To Arielle and the Moon,David Trinidad,https://www.poetryfoundation.org/poems/51148/to-arielle-and-the-moon
A Man in Blue,James Schuyler,https://www.poetryfoundation.org/poems/53099/a-man-in-blue
An Institute Is Closing,Ish Klein,https://www.poetryfoundation.org/poems/53888/an-institute-is-closing
"from Dante Études, Book One: We Will Endeavor",Robert Duncan,https://www.poetryfoundation.org/poems/53075/from-dante-etudes-book-one-we-will-endeavor
Things to Do in Hell,Chris Martin,https://www.poetryfoundation.org/poems/149081/things-to-do-in-hell
Hardware,Averill Curdy,https://www.poetryfoundation.org/poetrymagazine/poems/52584/hardware-56d2312b65498
Second Attempt Crossing,Javier Zamora,https://www.poetryfoundation.org/poetrymagazine/poems/90978/second-attempt-crossing
"Captain Lovell, [""My eyes are shaky and glimmer like the stars""]",Gabrielle Calvocoressi,https://www.poetryfoundation.org/poetrymagazine/poems/56897/captain-lovell-my-eyes-are-shaky-and-glimmer-like-the-stars
Something with a Lifespan,Katie Peterson,https://www.poetryfoundation.org/poems/57769/something-with-a-lifespan
On June Blossoming in June,Karen An-hwei Lee,https://www.poetryfoundation.org/poetrymagazine/poems/153499/on-june-blossoming-in-june
The Metaphysical Amorist,J. V. Cunningham,https://www.poetryfoundation.org/poems/42728/the-metaphysical-amorist
Evening Angelus,Joyce Sutphen,https://www.poetryfoundation.org/poems/51335/evening-angelus
Everything Good between Men and Women,C. D. Wright,https://www.poetryfoundation.org/poems/47847/everything-good-between-men-and-women
Imaginary Book,Julien Poirier,https://www.poetryfoundation.org/poems/144233/imaginary-book
Asperges Me,Timothy Murphy,https://www.poetryfoundation.org/poetrymagazine/poems/53205/asperges-me
Cathedral of Salt,Nick Flynn,https://www.poetryfoundation.org/poetrymagazine/poems/56999/cathedral-of-salt
A Symmetry,Ari Banias,https://www.poetryfoundation.org/poetrymagazine/poems/145174/a-symmetry
Perhaps I Am a Fugitive of Empathy,Marlanda Dekine,https://www.poetryfoundation.org/poetrymagazine/poems/155930/perhaps-i-am-a-fugitive-of-empathy
At Eighty-three She Lives Alone,Ruth Stone,https://www.poetryfoundation.org/poems/51285/at-eighty-three-she-lives-alone
Myths of the Disappearance,Monica Ferrell,https://www.poetryfoundation.org/poems/54064/myths-of-the-disappearance
The Snow Man,Wallace Stevens,https://www.poetryfoundation.org/poems/45235/the-snow-man-56d224a6d4e90
Edgar Allan Poe Is Reached at the Baltimore Harbor by the Shadows That Pursue Him,Fernando Valverde,https://www.poetryfoundation.org/poetrymagazine/poems/152490/edgar-allan-poe-is-reached-at-the-baltimore-harbor-by-the-shadows-that-pursue-him
The Abracadabra Boys,Carl Sandburg,https://www.poetryfoundation.org/poems/53235/the-abracadabra-boys
Winter,Marie Ponsot,https://www.poetryfoundation.org/poems/47633/winter-56d22838a7441
The Bug,Tommye Blount,https://www.poetryfoundation.org/poetrymagazine/poems/57721/the-bug
Declaration,Tracy K. Smith,https://www.poetryfoundation.org/poems/147468/declaration-5b5a286052461
Between The Griffon and Met Life,Vincent Katz,https://www.poetryfoundation.org/poems/144230/between-the-griffon-and-met-life
Estevanico,Jeffrey Yang,https://www.poetryfoundation.org/poetrymagazine/poems/142851/estevanico
The End of Landscape,Randall Mann,https://www.poetryfoundation.org/poems/55027/the-end-of-landscape
A Phonecall from Frank O’Hara,Anne Waldman,https://www.poetryfoundation.org/poems/43033/a-phonecall-from-frank-ohara
Freely Espousing,James Schuyler,https://www.poetryfoundation.org/poems/53098/freely-espousing
The Fat Old Couple Whirling Around,Robert Bly,https://www.poetryfoundation.org/poems/52030/the-fat-old-couple-whirling-around
Sanctuary Stairs,Jared Stanley,https://www.poetryfoundation.org/poems/149680/sanctuary-stairs
cutting greens,Lucille Clifton,https://www.poetryfoundation.org/poems/54590/cutting-greens
The River of Girls,Tishani Doshi,https://www.poetryfoundation.org/poems/56733/the-river-of-girls
Life of Savage,Vijay Seshadri,https://www.poetryfoundation.org/poetrymagazine/poems/54227/life-of-savage
The Definitions,Fanny Howe,https://www.poetryfoundation.org/poetrymagazine/poems/149251/the-definitions
pronoun circle-jerk and the dog charlie,Julian Talamantez Brolaski,https://www.poetryfoundation.org/poems/148209/pronoun-circle-jerk-and-the-dog-charlie-
Written with a Pencil Found in Lorine Niedecker’s Front Yard,David Trinidad,https://www.poetryfoundation.org/poems/51149/written-with-a-pencil-found-in-lorine-niedeckers-front-yard
Sissieretta Jones,Tyehimba Jess,https://www.poetryfoundation.org/poetrymagazine/poems/58786/sissieretta-jones
Tin Woman's Lament,Yolanda Wisher,https://www.poetryfoundation.org/poems/90619/tin-woman39s-lament
From “Reconstructions”,Bradley Trumpfheller,https://www.poetryfoundation.org/poetrymagazine/poems/150053/from-reconstructions
At a Bus Stop in El Barrio,Rodrigo Toscano,https://www.poetryfoundation.org/poetrymagazine/poems/56945/at-a-bus-stop-in-el-barrio
Sore Throat,Katie Peterson,https://www.poetryfoundation.org/poems/57646/sore-throat
Eccentric Votive Offering,Bruce Beasley,https://www.poetryfoundation.org/poetrymagazine/poems/150761/eccentric-votive-offering
The Young,Roddy Lumsden,https://www.poetryfoundation.org/poetrymagazine/poems/51937/the-young
A Sunset of the City,Gwendolyn Brooks,https://www.poetryfoundation.org/poems/43318/a-sunset-of-the-city
Poem for My Neighbor Whose Good Intentions Are Wolf Pelt,Jacqueline Allen Trimble,https://www.poetryfoundation.org/poetrymagazine/poems/156063/poem-for-my-neighbor-whose-good-intentions-are-wolf-pelt
$$$Expensive Magic$$$,Cedar Sigo,https://www.poetryfoundation.org/poems/53070/expensive-magic
Myth of the Blaze,George Oppen,https://www.poetryfoundation.org/poems/46404/myth-of-the-blaze
Tech Help,Chase Twichell,https://www.poetryfoundation.org/poems/51007/tech-help
Two Nudes,Mary Jo Bang,https://www.poetryfoundation.org/poems/58043/two-nudes
What Is Sacred,Lee Herrick,https://www.poetryfoundation.org/poems/57225/what-is-sacred
Apollo,Elizabeth Alexander,https://www.poetryfoundation.org/poetrymagazine/poems/38296/apollo
American Sonnet for My Past and Future Assassin [“Why are you bugging me you stank minuscule husk”],Terrance Hayes,https://www.poetryfoundation.org/poetrymagazine/poems/143919/american-sonnet-for-my-past-and-future-assassin-598dc95914688
Wow Moment,Alice Fulton,https://www.poetryfoundation.org/poetrymagazine/poems/55542/wow-moment
No Soldier Story,Ish Klein,https://www.poetryfoundation.org/poems/53890/no-soldier-story
Open Openly,Alan Felsenthal,https://www.poetryfoundation.org/poems/147028/open-openly
. . . (In Exion),Jennifer Scappettone,https://www.poetryfoundation.org/poems/53658/-in-exion
Ramadan,Kazim Ali,https://www.poetryfoundation.org/poems/53856/ramadan
Nerve,Geoffrey Hilsabeck,https://www.poetryfoundation.org/poems/149653/nerve
Overheard in the Herd,Jorie Graham,https://www.poetryfoundation.org/poetrymagazine/poems/148785/overheard-in-the-herd
yasmeen,Safia Elhillo,https://www.poetryfoundation.org/poetrymagazine/poems/147159/yasmeen
The Farm on the Great Plain,William E. Stafford,https://www.poetryfoundation.org/poetrymagazine/poems/27539/the-farm-on-the-great-plains
A Day on the Big Branch,Howard Nemerov,https://www.poetryfoundation.org/poetrymagazine/poems/27462/a-day-on-the-big-branch
Eventual Horizon,Mark Tardi,https://www.poetryfoundation.org/poems/53655/eventual-horizon
Doctor Frolic,Robert Pinsky,https://www.poetryfoundation.org/poems/47837/doctor-frolic
the name before the name before mine,Jay Besemer,https://www.poetryfoundation.org/poems/148917/the-name-before-the-name-before-mine
Let Me Count the Waves,Sandra Beasley,https://www.poetryfoundation.org/poetrymagazine/poems/52654/let-me-count-the-waves
Report to Crazy Horse,William E. Stafford,https://www.poetryfoundation.org/poems/42784/report-to-crazy-horse
Meditation Denying Everything,Katie Peterson,https://www.poetryfoundation.org/poems/57766/meditation-denying-everything
A Kind of Villanelle,Joyce Sutphen,https://www.poetryfoundation.org/poems/51502/a-kind-of-villanelle
A Short History of Silence,Jane Yeh,https://www.poetryfoundation.org/poetrymagazine/poems/144823/a-short-history-of-silence
On Wanting to Tell [       ] about a Girl Eating Fish Eyes,Mary Szybist,https://www.poetryfoundation.org/poetrymagazine/poems/51799/on-wanting-to-tell-about-a-girl-eating-fish-eyes
She had a death in me,Joan Houlihan,https://www.poetryfoundation.org/poetrymagazine/poems/51943/she-had-a-death-in-me
Domestic Violence,Roger Reeves,https://www.poetryfoundation.org/poetrymagazine/poems/141964/domestic-violence-590c9417b5983
Queerodactyl,Roy G. Guzmán,https://www.poetryfoundation.org/poetrymagazine/poems/144620/queerodactyl-59e4e3e2c2d7a
Queerodactyl,Roy G. Guzmán,https://www.poetryfoundation.org/poetrymagazine/poems/144623/queerodactyl
Queerodactyl,Roy G. Guzmán,https://www.poetryfoundation.org/poetrymagazine/poems/144622/queerodactyl-59e4e4960601a
Poem Beginning with Lines by Elizabeth Barrett Browning,Jack Underwood,https://www.poetryfoundation.org/poetrymagazine/poems/152120/poem-beginning-with-lines-by-elizabeth-barrett-browning
Perspective,Amy King,https://www.poetryfoundation.org/poems/89487/perspective-57449f49630bf
"As a Child, You Worried You Would Be an Orphan",Charlotte Pence,https://www.poetryfoundation.org/poetrymagazine/poems/156075/as-a-child-you-worried-you-would-be-an-orphan
Disgraceland,Mary Karr,https://www.poetryfoundation.org/poetrymagazine/poems/42065/disgraceland
I started Early – Took my Dog – (656),Emily Dickinson,https://www.poetryfoundation.org/poems/50976/i-started-early-took-my-dog-656
salat to be read from right to left,Dujie Tahat,https://www.poetryfoundation.org/poetrymagazine/poems/152125/salat-to-be-read-from-right-to-left
Nursery,Kiki Petrosino,https://www.poetryfoundation.org/poetrymagazine/poems/92040/nursery
Pathos of the Momentary Smile,Mark Halliday,https://www.poetryfoundation.org/poems/57658/pathos-of-the-momentary-smile
Saguaros,Javier Zamora,https://www.poetryfoundation.org/poetrymagazine/poems/58656/saguaros
Dear One Absent This Long While,Lisa Olstein,https://www.poetryfoundation.org/poems/48139/dear-one-absent-this-long-while
Robinson at Home,Weldon Kees,https://www.poetryfoundation.org/poems/47586/robinson-at-home
elegy for kari edwards,Julian Talamantez Brolaski,https://www.poetryfoundation.org/poems/54583/elegy-for-kari-edwards
Somewhere Thuban Is Fading,Rosebud Ben-Oni,https://www.poetryfoundation.org/poetrymagazine/poems/58000/somewhere-thuban-is-fading
To You,Kenneth Koch,https://www.poetryfoundation.org/poems/52927/to-you-56d231c9ef79c
Cold Valley,Cedar Sigo,https://www.poetryfoundation.org/poems/149945/cold-valley
Monologue of a Commercial Fisherman,Alan Dugan,https://www.poetryfoundation.org/poems/55173/monologue-of-a-commercial-fisherman-56d236721026f
Flowers from a New Love after the Divorce,Paisley Rekdal,https://www.poetryfoundation.org/poems/56264/flowers-from-a-new-love-after-the-divorce
Flatirons,David Yezzi,https://www.poetryfoundation.org/poetrymagazine/poems/55192/flatirons
Taste,Jessica Laser,https://www.poetryfoundation.org/poems/149079/taste-5c51c58ca0d53
The Piano Speaks,Sandra Beasley,https://www.poetryfoundation.org/poetrymagazine/poems/52652/the-piano-speaks
The Icehouse in Summer,Howard Nemerov,https://www.poetryfoundation.org/poems/42704/the-icehouse-in-summer
Good Bones,Maggie Smith,https://www.poetryfoundation.org/poems/89897/good-bones
Frederick Douglass,Robert Hayden,https://www.poetryfoundation.org/poems/46460/frederick-douglass
Forgetting,Joy Ladin,https://www.poetryfoundation.org/poetrymagazine/poems/152965/forgetting-5e66c0adce9f7
Walt Whitman at Bear Mountain,Louis Simpson,https://www.poetryfoundation.org/poems/54198/walt-whitman-at-bear-mountain
I Saw This Day Coming,Stacy Szymaszek,https://www.poetryfoundation.org/poems/151531/i-saw-this-day-coming-
The Brassiere Factory,Kenneth Koch,https://www.poetryfoundation.org/poems/52928/the-brassiere-factory
The Missing Poem,Mark Halliday,https://www.poetryfoundation.org/poems/55017/the-missing-poem
Autism Screening Questionnaire — Speech and Language Delay,Oliver de la Paz,https://www.poetryfoundation.org/poetrymagazine/poems/142858/autism-screening-questionnaire-speech-and-language-delay
Lost in Translation,Peter Pereira,https://www.poetryfoundation.org/poems/51117/lost-in-translation
Turtle,Kay Ryan,https://www.poetryfoundation.org/poems/50611/turtle-56d22dd3f31c2
The Town Dump,Howard Nemerov,https://www.poetryfoundation.org/poems/52767/the-town-dump
“Make It New”,Alice Fulton,https://www.poetryfoundation.org/poetrymagazine/poems/56465/make-it-new
En Eski Aşk Şiiri,Jessica Jopp,https://www.poetryfoundation.org/poetrymagazine/poems/54346/en-eski-ask-siiri
[accumulation of land],Myung Mi Kim,https://www.poetryfoundation.org/poems/53678/accumulation-of-land
Jefferson Davis the Adoptive Father of the Mulatto Jim Limber Dreams He Is Crowned King of the Confederacy,Shane McCrae,https://www.poetryfoundation.org/poetrymagazine/poems/144608/jefferson-davis-the-adoptive-father-of-the-mulatto-jim-limber-dreams-he-is-crowned-king-of-the-confederacy
Letter to My Blackout,Maria Hummel,https://www.poetryfoundation.org/poetrymagazine/poems/150043/letter-to-my-blackout
Map to the Stars,Adrian Matejka,https://www.poetryfoundation.org/poetrymagazine/poems/55657/map-to-the-stars
The Colonel,Carolyn Forché,https://www.poetryfoundation.org/poems/49862/the-colonel
At the Un-National Monument along the Canadian Border,William E. Stafford,https://www.poetryfoundation.org/poems/52881/at-the-un-national-monument-along-the-canadian-border
As from a Quiver of Arrows,Carl Phillips,https://www.poetryfoundation.org/poems/54252/as-from-a-quiver-of-arrows
Pomegranate,Mary Cisper,https://www.poetryfoundation.org/poems/146275/pomegranate-5aac07dacea81
A Point West of Mount San Bernardino,Juan Delgado,https://www.poetryfoundation.org/poems/56854/a-point-west-of-mount-san-bernardino
Women in Labor,Mary Ruefle,https://www.poetryfoundation.org/poetrymagazine/poems/54905/women-in-labor
Johnny One Note,W. S. Di Piero,https://www.poetryfoundation.org/poetrymagazine/poems/50799/johnny-one-note
A Letter of Recommendation,Yehuda Amichai,https://www.poetryfoundation.org/poems/50827/a-letter-of-recommendation
Ulysses,"Alfred, Lord Tennyson",https://www.poetryfoundation.org/poems/45392/ulysses
Most People Would Rather Not,Hannah Gamble,https://www.poetryfoundation.org/poetrymagazine/poems/56477/most-people-would-rather-not
Two Paintings by Gustav Klimt,Jorie Graham,https://www.poetryfoundation.org/poems/54721/two-paintings-by-gustav-klimt
The Blue Stairs,Barbara Guest,https://www.poetryfoundation.org/poems/53446/the-blue-stairs
Loneliness,Gerald Stern,https://www.poetryfoundation.org/poetrymagazine/poems/89367/loneliness-572b73941496e
Treyf,sam sax,https://www.poetryfoundation.org/poetrymagazine/poems/118566/trey-f
Taking It,Vievee Francis,https://www.poetryfoundation.org/poems/155837/taking-it
In the Meantime,Lisa Olstein,https://www.poetryfoundation.org/poems/50998/in-the-meantime
My New Job,Catherine Wagner,https://www.poetryfoundation.org/poems/54529/my-new-job
